170,96-97 to 99-00 4th Writing Complete,School CSAP report,Education,School performance,1996-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
171,97-98 to 99-00 3rd Reading Complete,School CSAP report,Education,School performance,1997-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
172,98-99 to 99-00 7th Reading Not Scaled,School CSAP report,Education,School performance,1998-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
173,98-99 to 99-00 7th Reading Scaled,School CSAP report,Education,School performance,1998-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
174,98-99 to 99-00 7th Writing Complete,School CSAP report,Education,School performance,1998-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
175,99-00 5th Math Complete,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
176,99-00 8th Grade Math Complete,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
177,99-00 8th Grade Science Complete,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
178,1999-2000 3rd Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,State,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
179,1999-2000 3rd Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,State,CDE,Excel,G:\Source Data\CDE\CSAP\2000
180,1999-2000 4th Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
181,1999-2000 4th Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
182,1999-2000 4th Grade CSAP Writing,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
183,1999-2000 4th Grade CSAP Writing,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
184,1999-2000 7th Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
185,1999-2000 7th Grade CSAP Reading,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
186,1999-2000 7th Grade CSAP Writing,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
187,1999-2000 7th Grade CSAP Writing,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
188,1999-2000 8th Grade CSAP Math,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
189,1999-2000 8th Grade CSAP Math,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
190,1999-2000 8th Grade CSAP Science,School CSAP report,Education,School performance,1999-2000,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\2000
